Employee_ID,Age,Gender,Country,Industry,Work_Mode,Work_Hours_Per_Week,Stress_Level,Sleep_Hours,Productivity_Score,Physical_Activity_Hours,Mental_Health_Support_Access,Burnout_Risk,productivity_level
EMP_0001,29,Male,Australia,Finance,Remote,38,2,8.1,97,5.5,No,Low,Alta
EMP_0002,23,Male,Brazil,Finance,Hybrid,31,9,5.2,81,7.0,No,Low,Alta
EMP_0003,50,Non-binary,Australia,Manufacturing,Remote,57,6,5.7,53,9.6,No,Low,Media
EMP_0004,27,Female,UK,Tech,On-site,46,1,8.4,74,1.2,No,Low,Alta
EMP_0005,57,Female,Canada,Tech,Hybrid,42,2,4.3,54,7.7,Yes,Low,Media
EMP_0006,28,Female,Australia,Retail,Hybrid,53,3,6.2,53,6.7,Yes,High,Media
EMP_0007,32,Non-binary,Brazil,Finance,On-site,54,5,9.9,80,6.9,Yes,High,Alta
EMP_0008,42,Male,Brazil,Manufacturing,On-site,55,5,4.4,98,9.4,No,Low,Alta
EMP_0009,53,Female,India,Finance,On-site,38,4,8.5,74,2.6,No,High,Alta
EMP_0010,47,Female,Brazil,Finance,Hybrid,61,2,8.5,95,1.1,Yes,High,Alta
EMP_0011,49,Non-binary,UK,Retail,On-site,59,9,5.5,75,8.6,Yes,High,Alta
EMP_0012,29,Non-binary,Japan,Tech,Hybrid,51,2,5.8,50,4.5,No,High,Media
EMP_0013,33,Non-binary,UK,Healthcare,On-site,62,10,5.2,63,7.6,Yes,High,Media
EMP_0014,42,Female,USA,Manufacturing,On-site,49,4,4.3,96,5.7,Yes,Low,Alta
EMP_0015,53,Male,Japan,Finance,Remote,60,9,5.0,73,8.7,No,Low,Alta
EMP_0016,56,Non-binary,Brazil,Healthcare,On-site,55,6,6.6,73,4.5,Yes,Low,Alta
EMP_0017,26,Female,USA,Education,Hybrid,44,10,5.3,44,7.1,Yes,Low,Media
EMP_0018,26,Male,France,Manufacturing,Hybrid,45,5,8.0,53,5.4,No,Low,Media
EMP_0019,52,Female,Brazil,Manufacturing,Remote,57,6,6.5,69,8.6,Yes,High,Media
EMP_0020,28,Male,Singapore,Healthcare,On-site,36,4,5.1,74,4.5,No,Low,Alta
EMP_0021,39,Female,Brazil,Manufacturing,On-site,36,1,7.9,74,8.4,Yes,Low,Alta
EMP_0022,32,Female,India,Retail,Remote,55,1,5.0,40,9.9,No,Medium,Baja
EMP_0023,40,Female,Japan,Healthcare,Hybrid,61,3,5.1,53,9.7,Yes,High,Media
EMP_0024,42,Male,USA,Education,On-site,62,9,4.9,72,0.8,Yes,Low,Alta
EMP_0025,26,Non-binary,Brazil,Retail,Remote,45,10,7.6,79,0.8,No,Medium,Alta
EMP_0026,35,Non-binary,France,Finance,On-site,55,3,8.0,59,4.6,Yes,Low,Media
EMP_0027,51,Non-binary,Canada,Manufacturing,Remote,64,4,7.0,48,9.3,Yes,Low,Media
EMP_0028,45,Female,Germany,Retail,Hybrid,49,10,9.9,91,6.5,Yes,High,Alta
EMP_0029,57,Female,UK,Finance,On-site,37,2,8.5,49,2.7,Yes,High,Media
EMP_0030,43,Male,Australia,Education,On-site,46,1,4.6,67,8.3,Yes,Low,Media
EMP_0031,43,Male,Australia,Finance,Hybrid,58,9,8.2,75,0.1,Yes,High,Alta
EMP_0032,31,Non-binary,USA,Tech,Hybrid,39,7,4.8,59,3.6,Yes,Medium,Media
EMP_0033,35,Non-binary,Brazil,Healthcare,Remote,52,9,9.3,66,9.7,Yes,Low,Media
EMP_0034,32,Male,Singapore,Manufacturing,Remote,51,7,8.8,95,7.4,Yes,Medium,Alta
EMP_0035,32,Non-binary,UK,Retail,Remote,60,4,5.2,98,4.6,No,Low,Alta
EMP_0036,36,Male,Brazil,Retail,On-site,47,2,9.8,57,3.5,No,High,Media
EMP_0037,56,Female,USA,Manufacturing,On-site,41,10,9.8,56,0.4,No,Medium,Media
EMP_0038,42,Female,Canada,Education,Remote,54,10,5.1,42,7.1,Yes,High,Media
EMP_0039,56,Non-binary,Brazil,Tech,On-site,34,6,7.7,82,8.5,No,High,Alta
EMP_0040,41,Non-binary,Singapore,Tech,On-site,48,9,4.8,66,6.6,No,High,Media
EMP_0041,33,Non-binary,Canada,Tech,On-site,30,5,5.7,67,7.9,No,Medium,Media
EMP_0042,50,Female,Brazil,Education,On-site,40,2,5.7,82,6.3,No,Low,Alta
EMP_0043,37,Non-binary,Australia,Finance,Remote,39,1,4.3,70,6.1,Yes,Medium,Media
EMP_0044,48,Non-binary,Canada,Finance,Hybrid,54,8,6.4,49,6.6,Yes,Low,Media
EMP_0045,49,Male,Germany,Healthcare,Hybrid,59,1,7.3,98,8.5,No,Low,Alta
EMP_0046,51,Non-binary,Japan,Education,Hybrid,50,8,7.7,86,8.9,No,High,Alta
EMP_0047,50,Male,India,Retail,On-site,45,5,8.6,73,4.8,Yes,Medium,Alta
EMP_0048,50,Male,Australia,Finance,On-site,51,6,9.4,45,1.4,Yes,Medium,Media
EMP_0049,31,Non-binary,Brazil,Manufacturing,On-site,56,6,7.3,66,0.6,No,Medium,Media
EMP_0050,59,Non-binary,USA,Education,On-site,60,1,9.7,59,7.5,No,High,Media
EMP_0051,56,Non-binary,Brazil,Retail,Remote,47,7,6.9,64,3.4,No,High,Media
EMP_0052,32,Female,Germany,Education,Hybrid,31,7,7.6,82,0.3,No,Low,Alta
EMP_0053,51,Male,USA,Tech,On-site,50,4,6.7,61,7.6,No,Medium,Media
EMP_0054,48,Female,UK,Retail,Remote,64,1,10.0,62,2.2,Yes,High,Media
EMP_0055,24,Male,Brazil,Finance,Remote,39,4,4.8,82,1.1,Yes,Medium,Alta
EMP_0056,38,Female,Germany,Education,Hybrid,37,3,9.8,46,5.8,No,High,Media
EMP_0057,46,Female,Brazil,Manufacturing,Hybrid,45,2,8.2,59,8.5,Yes,High,Media
EMP_0058,24,Female,Japan,Retail,Hybrid,53,2,7.0,61,0.1,No,Medium,Media
EMP_0059,28,Female,France,Healthcare,On-site,39,7,5.1,73,9.7,No,High,Alta
EMP_0060,56,Female,India,Retail,Hybrid,47,6,9.1,93,9.3,No,Medium,Alta
EMP_0061,37,Female,Canada,Education,Hybrid,54,6,4.2,94,3.3,No,Low,Alta
EMP_0062,44,Female,France,Tech,Hybrid,47,9,4.1,100,1.9,Yes,High,Alta
EMP_0063,48,Female,Japan,Finance,Hybrid,60,8,6.7,41,0.9,Yes,Medium,Media
EMP_0064,37,Female,Canada,Tech,On-site,63,6,6.6,87,5.5,No,High,Alta
EMP_0065,51,Female,Australia,Tech,Remote,37,4,5.9,87,5.4,Yes,Low,Alta
EMP_0066,35,Non-binary,India,Tech,Hybrid,63,10,5.7,46,8.3,No,Low,Media
EMP_0067,45,Male,Australia,Manufacturing,Hybrid,64,3,5.6,43,5.5,Yes,High,Media
EMP_0068,53,Male,USA,Education,On-site,60,8,6.6,51,9.7,No,Medium,Media
EMP_0069,29,Male,Singapore,Retail,Remote,33,3,4.9,76,9.5,Yes,Low,Alta
EMP_0070,29,Non-binary,Singapore,Education,Hybrid,44,9,6.3,98,4.4,No,Medium,Alta
EMP_0071,58,Non-binary,USA,Education,Hybrid,36,4,7.8,56,6.6,Yes,Low,Media
